ID,Topic,Subtopic,Question,Answer,Concept Explanation,Difficulty (1-5),Units Involved,Formula Used,Reasoning
303,Thermodynamics,Heat Transfer,Derive and explain the significance of the formula 'Q = mL' in Heat Transfer.,The formula 'Q = mL' relates key measurable physical quantities in Heat Transfer.,The formula comes from theoretical derivation or experimental observation in the domain of Heat Transfer.,3,"J, °C, kg",Q = mL,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Heat Transfer.
304,Mechanics,Laws of Motion,Derive and explain the significance of the formula 'N3L: F_AB = -F_BA' in Laws of Motion.,The formula 'N3L: F_AB = -F_BA' relates key measurable physical quantities in Laws of Motion.,The formula comes from theoretical derivation or experimental observation in the domain of Laws of Motion.,4,"N, kg, m/s^2",N3L: F_AB = -F_BA,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Laws of Motion.
305,Mechanics,Kinematics,An object starts with initial velocity 11 m/s and accelerates at 2.35 m/s² for 3 seconds. Find its final velocity.,v = u + at = 11 + 2.35×3 = 18.04 m/s,"This kinematic formula connects final velocity with initial velocity, acceleration, and time.",4,"m, s",v = u + at,The formula assumes uniform acceleration. The derivation comes from integrating acceleration over time.
306,Optics,Refraction,Derive and explain the significance of the formula 'n1sinθ1 = n2sinθ2' in Refraction.,The formula 'n1sinθ1 = n2sinθ2' relates key measurable physical quantities in Refraction.,The formula comes from theoretical derivation or experimental observation in the domain of Refraction.,4,unitless,n1sinθ1 = n2sinθ2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Refraction.
307,Thermodynamics,Heat Transfer,Derive and explain the significance of the formula 'Q = mL' in Heat Transfer.,The formula 'Q = mL' relates key measurable physical quantities in Heat Transfer.,The formula comes from theoretical derivation or experimental observation in the domain of Heat Transfer.,2,"J, °C, kg",Q = mL,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Heat Transfer.
308,Thermodynamics,Laws of Thermodynamics,Derive and explain the significance of the formula 'ΔU = Q - W' in Laws of Thermodynamics.,The formula 'ΔU = Q - W' relates key measurable physical quantities in Laws of Thermodynamics.,The formula comes from theoretical derivation or experimental observation in the domain of Laws of Thermodynamics.,5,"J, C, K",ΔU = Q - W,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Laws of Thermodynamics.
309,Thermodynamics,Laws of Thermodynamics,Derive and explain the significance of the formula 'ΔU = Q - W' in Laws of Thermodynamics.,The formula 'ΔU = Q - W' relates key measurable physical quantities in Laws of Thermodynamics.,The formula comes from theoretical derivation or experimental observation in the domain of Laws of Thermodynamics.,4,"J, C, K",ΔU = Q - W,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Laws of Thermodynamics.
310,Mechanics,Kinematics,Derive and explain the significance of the formula 'v^2 = u^2 + 2as' in Kinematics.,The formula 'v^2 = u^2 + 2as' relates key measurable physical quantities in Kinematics.,The formula comes from theoretical derivation or experimental observation in the domain of Kinematics.,3,"m, s",v^2 = u^2 + 2as,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Kinematics.
311,Thermodynamics,Laws of Thermodynamics,Derive and explain the significance of the formula 'ΔU = Q - W' in Laws of Thermodynamics.,The formula 'ΔU = Q - W' relates key measurable physical quantities in Laws of Thermodynamics.,The formula comes from theoretical derivation or experimental observation in the domain of Laws of Thermodynamics.,3,"J, C, K",ΔU = Q - W,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Laws of Thermodynamics.
312,Mechanics,"Work, Power, Energy","Derive and explain the significance of the formula 'PE = mgh' in Work, Power, Energy.","The formula 'PE = mgh' relates key measurable physical quantities in Work, Power, Energy.","The formula comes from theoretical derivation or experimental observation in the domain of Work, Power, Energy.",5,"J, W, kg, m, s",PE = mgh,"This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Work, Power, Energy."
313,Electricity and Magnetism,Current Electricity,Derive and explain the significance of the formula 'V = IR' in Current Electricity.,The formula 'V = IR' relates key measurable physical quantities in Current Electricity.,The formula comes from theoretical derivation or experimental observation in the domain of Current Electricity.,4,"V, A, Ω",V = IR,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Current Electricity.
314,Optics,Lenses,Derive and explain the significance of the formula '1/f = 1/v - 1/u' in Lenses.,The formula '1/f = 1/v - 1/u' relates key measurable physical quantities in Lenses.,The formula comes from theoretical derivation or experimental observation in the domain of Lenses.,4,"cm, mm, m",1/f = 1/v - 1/u,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Lenses.
315,Electricity and Magnetism,Current Electricity,Derive and explain the significance of the formula 'P = VI' in Current Electricity.,The formula 'P = VI' relates key measurable physical quantities in Current Electricity.,The formula comes from theoretical derivation or experimental observation in the domain of Current Electricity.,2,"V, A, Ω",P = VI,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Current Electricity.
316,Electricity and Magnetism,Electrostatics,Derive and explain the significance of the formula 'E = F/q' in Electrostatics.,The formula 'E = F/q' relates key measurable physical quantities in Electrostatics.,The formula comes from theoretical derivation or experimental observation in the domain of Electrostatics.,4,"N, C, m",E = F/q,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Electrostatics.
317,Mechanics,Kinematics,Derive and explain the significance of the formula 'v^2 = u^2 + 2as' in Kinematics.,The formula 'v^2 = u^2 + 2as' relates key measurable physical quantities in Kinematics.,The formula comes from theoretical derivation or experimental observation in the domain of Kinematics.,5,"m, s",v^2 = u^2 + 2as,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Kinematics.
318,Electricity and Magnetism,Electrostatics,Derive and explain the significance of the formula 'F = kq1q2/r^2' in Electrostatics.,The formula 'F = kq1q2/r^2' relates key measurable physical quantities in Electrostatics.,The formula comes from theoretical derivation or experimental observation in the domain of Electrostatics.,3,"N, C, m",F = kq1q2/r^2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Electrostatics.
319,Mechanics,Dynamics,Calculate the force required to accelerate a 96 kg object at 9.59 m/s².,F = ma = 96 × 9.59 = 920.95 N,Newton's Second Law relates force with mass and acceleration.,2,"N, kg, m/s^2",F = ma,"This reasoning holds true as per classical mechanics, assuming no other forces like friction. It quantifies the cause-effect relationship in motion."
320,Thermodynamics,Heat Transfer,Calculate the heat energy needed to raise the temperature of 5.54 kg of water by 45°C.,Q = mcΔT = 5.54 × 4.18 × 45 = 1041.62 J,"This formula is based on calorimetry, representing heat transfer with no phase change.",5,"J, °C, kg",Q = mcΔT,It uses the assumption of constant specific heat. The concept is foundational in thermodynamics.
321,Electricity and Magnetism,Electrostatics,Derive and explain the significance of the formula 'E = F/q' in Electrostatics.,The formula 'E = F/q' relates key measurable physical quantities in Electrostatics.,The formula comes from theoretical derivation or experimental observation in the domain of Electrostatics.,2,"N, C, m",E = F/q,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Electrostatics.
322,Electricity and Magnetism,Electrostatics,Derive and explain the significance of the formula 'F = kq1q2/r^2' in Electrostatics.,The formula 'F = kq1q2/r^2' relates key measurable physical quantities in Electrostatics.,The formula comes from theoretical derivation or experimental observation in the domain of Electrostatics.,4,"N, C, m",F = kq1q2/r^2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Electrostatics.
323,Electricity and Magnetism,Current Electricity,Derive and explain the significance of the formula 'V = IR' in Current Electricity.,The formula 'V = IR' relates key measurable physical quantities in Current Electricity.,The formula comes from theoretical derivation or experimental observation in the domain of Current Electricity.,5,"V, A, Ω",V = IR,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Current Electricity.
324,Electricity and Magnetism,Electrostatics,Derive and explain the significance of the formula 'E = F/q' in Electrostatics.,The formula 'E = F/q' relates key measurable physical quantities in Electrostatics.,The formula comes from theoretical derivation or experimental observation in the domain of Electrostatics.,5,"N, C, m",E = F/q,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Electrostatics.
325,Mechanics,"Work, Power, Energy","Derive and explain the significance of the formula 'PE = mgh' in Work, Power, Energy.","The formula 'PE = mgh' relates key measurable physical quantities in Work, Power, Energy.","The formula comes from theoretical derivation or experimental observation in the domain of Work, Power, Energy.",4,"J, W, kg, m, s",PE = mgh,"This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Work, Power, Energy."
326,Electricity and Magnetism,Current Electricity,Derive and explain the significance of the formula 'P = VI' in Current Electricity.,The formula 'P = VI' relates key measurable physical quantities in Current Electricity.,The formula comes from theoretical derivation or experimental observation in the domain of Current Electricity.,2,"V, A, Ω",P = VI,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Current Electricity.
327,Optics,Reflection,Derive and explain the significance of the formula 'i = r' in Reflection.,The formula 'i = r' relates key measurable physical quantities in Reflection.,The formula comes from theoretical derivation or experimental observation in the domain of Reflection.,3,degrees,i = r,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Reflection.
328,Electricity and Magnetism,Electrostatics,Derive and explain the significance of the formula 'E = F/q' in Electrostatics.,The formula 'E = F/q' relates key measurable physical quantities in Electrostatics.,The formula comes from theoretical derivation or experimental observation in the domain of Electrostatics.,3,"N, C, m",E = F/q,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Electrostatics.
329,Electricity and Magnetism,Electrostatics,Derive and explain the significance of the formula 'E = F/q' in Electrostatics.,The formula 'E = F/q' relates key measurable physical quantities in Electrostatics.,The formula comes from theoretical derivation or experimental observation in the domain of Electrostatics.,5,"N, C, m",E = F/q,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Electrostatics.
330,Electricity and Magnetism,Electrostatics,Derive and explain the significance of the formula 'E = F/q' in Electrostatics.,The formula 'E = F/q' relates key measurable physical quantities in Electrostatics.,The formula comes from theoretical derivation or experimental observation in the domain of Electrostatics.,2,"N, C, m",E = F/q,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Electrostatics.
331,Mechanics,Laws of Motion,Derive and explain the significance of the formula 'N3L: F_AB = -F_BA' in Laws of Motion.,The formula 'N3L: F_AB = -F_BA' relates key measurable physical quantities in Laws of Motion.,The formula comes from theoretical derivation or experimental observation in the domain of Laws of Motion.,4,"N, kg, m/s^2",N3L: F_AB = -F_BA,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Laws of Motion.
332,Mechanics,Kinematics,An object starts with initial velocity 20 m/s and accelerates at 2.62 m/s² for 3 seconds. Find its final velocity.,v = u + at = 20 + 2.62×3 = 27.86 m/s,"This kinematic formula connects final velocity with initial velocity, acceleration, and time.",5,"m, s",v = u + at,The formula assumes uniform acceleration. The derivation comes from integrating acceleration over time.
333,Mechanics,Laws of Motion,Derive and explain the significance of the formula 'F_net = ma' in Laws of Motion.,The formula 'F_net = ma' relates key measurable physical quantities in Laws of Motion.,The formula comes from theoretical derivation or experimental observation in the domain of Laws of Motion.,4,"N, kg, m/s^2",F_net = ma,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Laws of Motion.
334,Optics,Reflection,Derive and explain the significance of the formula 'i = r' in Reflection.,The formula 'i = r' relates key measurable physical quantities in Reflection.,The formula comes from theoretical derivation or experimental observation in the domain of Reflection.,4,degrees,i = r,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Reflection.
335,Thermodynamics,Heat Transfer,Calculate the heat energy needed to raise the temperature of 1.04 kg of water by 71°C.,Q = mcΔT = 1.04 × 4.18 × 71 = 308.84 J,"This formula is based on calorimetry, representing heat transfer with no phase change.",5,"J, °C, kg",Q = mcΔT,It uses the assumption of constant specific heat. The concept is foundational in thermodynamics.
336,Mechanics,"Work, Power, Energy","Derive and explain the significance of the formula 'KE = 0.5mv^2' in Work, Power, Energy.","The formula 'KE = 0.5mv^2' relates key measurable physical quantities in Work, Power, Energy.","The formula comes from theoretical derivation or experimental observation in the domain of Work, Power, Energy.",5,"J, W, kg, m, s",KE = 0.5mv^2,"This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Work, Power, Energy."
337,Thermodynamics,Laws of Thermodynamics,Derive and explain the significance of the formula 'ΔU = Q - W' in Laws of Thermodynamics.,The formula 'ΔU = Q - W' relates key measurable physical quantities in Laws of Thermodynamics.,The formula comes from theoretical derivation or experimental observation in the domain of Laws of Thermodynamics.,3,"J, C, K",ΔU = Q - W,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Laws of Thermodynamics.
338,Optics,Reflection,Derive and explain the significance of the formula 'i = r' in Reflection.,The formula 'i = r' relates key measurable physical quantities in Reflection.,The formula comes from theoretical derivation or experimental observation in the domain of Reflection.,5,degrees,i = r,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Reflection.
339,Electricity and Magnetism,Current Electricity,Derive and explain the significance of the formula 'V = IR' in Current Electricity.,The formula 'V = IR' relates key measurable physical quantities in Current Electricity.,The formula comes from theoretical derivation or experimental observation in the domain of Current Electricity.,4,"V, A, Ω",V = IR,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Current Electricity.
340,Optics,Reflection,Derive and explain the significance of the formula 'i = r' in Reflection.,The formula 'i = r' relates key measurable physical quantities in Reflection.,The formula comes from theoretical derivation or experimental observation in the domain of Reflection.,4,degrees,i = r,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Reflection.
341,Optics,Lenses,Derive and explain the significance of the formula '1/f = 1/v - 1/u' in Lenses.,The formula '1/f = 1/v - 1/u' relates key measurable physical quantities in Lenses.,The formula comes from theoretical derivation or experimental observation in the domain of Lenses.,4,"cm, mm, m",1/f = 1/v - 1/u,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Lenses.
342,Thermodynamics,Heat Transfer,Calculate the heat energy needed to raise the temperature of 3.52 kg of water by 66°C.,Q = mcΔT = 3.52 × 4.18 × 66 = 972.45 J,"This formula is based on calorimetry, representing heat transfer with no phase change.",4,"J, °C, kg",Q = mcΔT,It uses the assumption of constant specific heat. The concept is foundational in thermodynamics.
343,Mechanics,"Work, Power, Energy","Derive and explain the significance of the formula 'PE = mgh' in Work, Power, Energy.","The formula 'PE = mgh' relates key measurable physical quantities in Work, Power, Energy.","The formula comes from theoretical derivation or experimental observation in the domain of Work, Power, Energy.",2,"J, W, kg, m, s",PE = mgh,"This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Work, Power, Energy."
344,Optics,Refraction,Derive and explain the significance of the formula 'n1sinθ1 = n2sinθ2' in Refraction.,The formula 'n1sinθ1 = n2sinθ2' relates key measurable physical quantities in Refraction.,The formula comes from theoretical derivation or experimental observation in the domain of Refraction.,2,unitless,n1sinθ1 = n2sinθ2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Refraction.
345,Electricity and Magnetism,Electrostatics,Derive and explain the significance of the formula 'F = kq1q2/r^2' in Electrostatics.,The formula 'F = kq1q2/r^2' relates key measurable physical quantities in Electrostatics.,The formula comes from theoretical derivation or experimental observation in the domain of Electrostatics.,5,"N, C, m",F = kq1q2/r^2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Electrostatics.
346,Mechanics,Dynamics,Calculate the force required to accelerate a 37 kg object at 7.53 m/s².,F = ma = 37 × 7.53 = 278.62 N,Newton's Second Law relates force with mass and acceleration.,5,"N, kg, m/s^2",F = ma,"This reasoning holds true as per classical mechanics, assuming no other forces like friction. It quantifies the cause-effect relationship in motion."
347,Electricity and Magnetism,Electrostatics,Derive and explain the significance of the formula 'E = F/q' in Electrostatics.,The formula 'E = F/q' relates key measurable physical quantities in Electrostatics.,The formula comes from theoretical derivation or experimental observation in the domain of Electrostatics.,3,"N, C, m",E = F/q,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Electrostatics.
348,Optics,Reflection,Derive and explain the significance of the formula 'i = r' in Reflection.,The formula 'i = r' relates key measurable physical quantities in Reflection.,The formula comes from theoretical derivation or experimental observation in the domain of Reflection.,4,degrees,i = r,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Reflection.
349,Mechanics,Kinematics,Derive and explain the significance of the formula 'v^2 = u^2 + 2as' in Kinematics.,The formula 'v^2 = u^2 + 2as' relates key measurable physical quantities in Kinematics.,The formula comes from theoretical derivation or experimental observation in the domain of Kinematics.,3,"m, s",v^2 = u^2 + 2as,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Kinematics.
350,Electricity and Magnetism,Current Electricity,Derive and explain the significance of the formula 'V = IR' in Current Electricity.,The formula 'V = IR' relates key measurable physical quantities in Current Electricity.,The formula comes from theoretical derivation or experimental observation in the domain of Current Electricity.,2,"V, A, Ω",V = IR,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Current Electricity.
351,Optics,Lenses,Derive and explain the significance of the formula '1/f = 1/v - 1/u' in Lenses.,The formula '1/f = 1/v - 1/u' relates key measurable physical quantities in Lenses.,The formula comes from theoretical derivation or experimental observation in the domain of Lenses.,4,"cm, mm, m",1/f = 1/v - 1/u,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Lenses.
352,Thermodynamics,Laws of Thermodynamics,Derive and explain the significance of the formula 'ΔU = Q - W' in Laws of Thermodynamics.,The formula 'ΔU = Q - W' relates key measurable physical quantities in Laws of Thermodynamics.,The formula comes from theoretical derivation or experimental observation in the domain of Laws of Thermodynamics.,3,"J, C, K",ΔU = Q - W,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Laws of Thermodynamics.
353,Electricity and Magnetism,Electrostatics,Derive and explain the significance of the formula 'F = kq1q2/r^2' in Electrostatics.,The formula 'F = kq1q2/r^2' relates key measurable physical quantities in Electrostatics.,The formula comes from theoretical derivation or experimental observation in the domain of Electrostatics.,4,"N, C, m",F = kq1q2/r^2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Electrostatics.
354,Mechanics,"Work, Power, Energy","Derive and explain the significance of the formula 'P = W/t' in Work, Power, Energy.","The formula 'P = W/t' relates key measurable physical quantities in Work, Power, Energy.","The formula comes from theoretical derivation or experimental observation in the domain of Work, Power, Energy.",2,"J, W, kg, m, s",P = W/t,"This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Work, Power, Energy."
355,Thermodynamics,Heat Transfer,Calculate the heat energy needed to raise the temperature of 3.49 kg of water by 44°C.,Q = mcΔT = 3.49 × 4.18 × 44 = 641.89 J,"This formula is based on calorimetry, representing heat transfer with no phase change.",5,"J, °C, kg",Q = mcΔT,It uses the assumption of constant specific heat. The concept is foundational in thermodynamics.
356,Mechanics,"Work, Power, Energy",A force of 157 N moves an object by 12 m. Calculate the work done.,W = Fd = 157 × 12 = 1884 J,Work is defined as the force applied over a displacement.,3,"J, W, kg, m, s",W = Fd,"This assumes force and displacement are in the same direction. If not, cosine of the angle between them would be included."
357,Mechanics,"Work, Power, Energy",A force of 79 N moves an object by 84 m. Calculate the work done.,W = Fd = 79 × 84 = 6636 J,Work is defined as the force applied over a displacement.,3,"J, W, kg, m, s",W = Fd,"This assumes force and displacement are in the same direction. If not, cosine of the angle between them would be included."
358,Electricity and Magnetism,Current Electricity,Derive and explain the significance of the formula 'P = VI' in Current Electricity.,The formula 'P = VI' relates key measurable physical quantities in Current Electricity.,The formula comes from theoretical derivation or experimental observation in the domain of Current Electricity.,5,"V, A, Ω",P = VI,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Current Electricity.
359,Optics,Lenses,Derive and explain the significance of the formula '1/f = 1/v - 1/u' in Lenses.,The formula '1/f = 1/v - 1/u' relates key measurable physical quantities in Lenses.,The formula comes from theoretical derivation or experimental observation in the domain of Lenses.,2,"cm, mm, m",1/f = 1/v - 1/u,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Lenses.
360,Mechanics,Dynamics,Calculate the force required to accelerate a 29 kg object at 2.50 m/s².,F = ma = 29 × 2.50 = 72.49 N,Newton's Second Law relates force with mass and acceleration.,5,"N, kg, m/s^2",F = ma,"This reasoning holds true as per classical mechanics, assuming no other forces like friction. It quantifies the cause-effect relationship in motion."
361,Thermodynamics,Laws of Thermodynamics,Derive and explain the significance of the formula 'ΔU = Q - W' in Laws of Thermodynamics.,The formula 'ΔU = Q - W' relates key measurable physical quantities in Laws of Thermodynamics.,The formula comes from theoretical derivation or experimental observation in the domain of Laws of Thermodynamics.,2,"J, C, K",ΔU = Q - W,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Laws of Thermodynamics.
362,Optics,Lenses,Derive and explain the significance of the formula '1/f = 1/v - 1/u' in Lenses.,The formula '1/f = 1/v - 1/u' relates key measurable physical quantities in Lenses.,The formula comes from theoretical derivation or experimental observation in the domain of Lenses.,5,"cm, mm, m",1/f = 1/v - 1/u,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Lenses.
363,Optics,Refraction,Derive and explain the significance of the formula 'n1sinθ1 = n2sinθ2' in Refraction.,The formula 'n1sinθ1 = n2sinθ2' relates key measurable physical quantities in Refraction.,The formula comes from theoretical derivation or experimental observation in the domain of Refraction.,5,unitless,n1sinθ1 = n2sinθ2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Refraction.
364,Optics,Reflection,Derive and explain the significance of the formula 'i = r' in Reflection.,The formula 'i = r' relates key measurable physical quantities in Reflection.,The formula comes from theoretical derivation or experimental observation in the domain of Reflection.,5,degrees,i = r,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Reflection.
365,Electricity and Magnetism,Electrostatics,Derive and explain the significance of the formula 'E = F/q' in Electrostatics.,The formula 'E = F/q' relates key measurable physical quantities in Electrostatics.,The formula comes from theoretical derivation or experimental observation in the domain of Electrostatics.,3,"N, C, m",E = F/q,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Electrostatics.
366,Electricity and Magnetism,Current Electricity,Derive and explain the significance of the formula 'P = VI' in Current Electricity.,The formula 'P = VI' relates key measurable physical quantities in Current Electricity.,The formula comes from theoretical derivation or experimental observation in the domain of Current Electricity.,4,"V, A, Ω",P = VI,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Current Electricity.
367,Electricity and Magnetism,Current Electricity,Derive and explain the significance of the formula 'V = IR' in Current Electricity.,The formula 'V = IR' relates key measurable physical quantities in Current Electricity.,The formula comes from theoretical derivation or experimental observation in the domain of Current Electricity.,5,"V, A, Ω",V = IR,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Current Electricity.
368,Optics,Reflection,Derive and explain the significance of the formula 'i = r' in Reflection.,The formula 'i = r' relates key measurable physical quantities in Reflection.,The formula comes from theoretical derivation or experimental observation in the domain of Reflection.,4,degrees,i = r,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Reflection.
369,Optics,Reflection,Derive and explain the significance of the formula 'i = r' in Reflection.,The formula 'i = r' relates key measurable physical quantities in Reflection.,The formula comes from theoretical derivation or experimental observation in the domain of Reflection.,4,degrees,i = r,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Reflection.
370,Thermodynamics,Heat Transfer,Calculate the heat energy needed to raise the temperature of 8.06 kg of water by 23°C.,Q = mcΔT = 8.06 × 4.18 × 23 = 774.96 J,"This formula is based on calorimetry, representing heat transfer with no phase change.",2,"J, °C, kg",Q = mcΔT,It uses the assumption of constant specific heat. The concept is foundational in thermodynamics.
371,Electricity and Magnetism,Electrostatics,Derive and explain the significance of the formula 'E = F/q' in Electrostatics.,The formula 'E = F/q' relates key measurable physical quantities in Electrostatics.,The formula comes from theoretical derivation or experimental observation in the domain of Electrostatics.,3,"N, C, m",E = F/q,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Electrostatics.
372,Optics,Refraction,Derive and explain the significance of the formula 'n1sinθ1 = n2sinθ2' in Refraction.,The formula 'n1sinθ1 = n2sinθ2' relates key measurable physical quantities in Refraction.,The formula comes from theoretical derivation or experimental observation in the domain of Refraction.,5,unitless,n1sinθ1 = n2sinθ2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Refraction.
373,Mechanics,"Work, Power, Energy",A force of 126 N moves an object by 88 m. Calculate the work done.,W = Fd = 126 × 88 = 11088 J,Work is defined as the force applied over a displacement.,2,"J, W, kg, m, s",W = Fd,"This assumes force and displacement are in the same direction. If not, cosine of the angle between them would be included."
374,Electricity and Magnetism,Electrostatics,Derive and explain the significance of the formula 'E = F/q' in Electrostatics.,The formula 'E = F/q' relates key measurable physical quantities in Electrostatics.,The formula comes from theoretical derivation or experimental observation in the domain of Electrostatics.,3,"N, C, m",E = F/q,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Electrostatics.
375,Optics,Refraction,Derive and explain the significance of the formula 'n1sinθ1 = n2sinθ2' in Refraction.,The formula 'n1sinθ1 = n2sinθ2' relates key measurable physical quantities in Refraction.,The formula comes from theoretical derivation or experimental observation in the domain of Refraction.,2,unitless,n1sinθ1 = n2sinθ2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Refraction.
376,Electricity and Magnetism,Current Electricity,Derive and explain the significance of the formula 'V = IR' in Current Electricity.,The formula 'V = IR' relates key measurable physical quantities in Current Electricity.,The formula comes from theoretical derivation or experimental observation in the domain of Current Electricity.,3,"V, A, Ω",V = IR,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Current Electricity.
377,Electricity and Magnetism,Electrostatics,Derive and explain the significance of the formula 'E = F/q' in Electrostatics.,The formula 'E = F/q' relates key measurable physical quantities in Electrostatics.,The formula comes from theoretical derivation or experimental observation in the domain of Electrostatics.,4,"N, C, m",E = F/q,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Electrostatics.
378,Optics,Reflection,Derive and explain the significance of the formula 'i = r' in Reflection.,The formula 'i = r' relates key measurable physical quantities in Reflection.,The formula comes from theoretical derivation or experimental observation in the domain of Reflection.,5,degrees,i = r,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Reflection.
379,Mechanics,"Work, Power, Energy","Derive and explain the significance of the formula 'P = W/t' in Work, Power, Energy.","The formula 'P = W/t' relates key measurable physical quantities in Work, Power, Energy.","The formula comes from theoretical derivation or experimental observation in the domain of Work, Power, Energy.",3,"J, W, kg, m, s",P = W/t,"This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Work, Power, Energy."
380,Thermodynamics,Laws of Thermodynamics,Derive and explain the significance of the formula 'ΔU = Q - W' in Laws of Thermodynamics.,The formula 'ΔU = Q - W' relates key measurable physical quantities in Laws of Thermodynamics.,The formula comes from theoretical derivation or experimental observation in the domain of Laws of Thermodynamics.,5,"J, C, K",ΔU = Q - W,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Laws of Thermodynamics.
